ma_window,rank,candidate_id,median_validation_sharpe,overall_sharpe,max_drawdown,total_return,bootstrap_ci_low,deflated_sharpe_score,fold_pass_count,gate_bootstrap,gate_deflated_sharpe,gate_negative_controls,selected
6,1,l12_s1_n8_strat=trend_filter_ma6,1.5611401889272594,1.4682940902863086,0.22357336384143345,10.718562529423126,0.8320826363753427,0.2916133570071864,5,True,True,True,True
7,2,l12_s1_n8_strat=trend_filter_ma7,1.4785331134161162,1.4031719413937518,0.22357336384143345,9.743025439004917,0.8099461825084661,0.27272519895279834,5,True,True,True,False
12,3,l12_s1_n8_strat=trend_filter_ma12,1.4407439817801082,1.2915204991113267,0.2235733638414339,7.870507206590686,0.7463120597982986,0.23923370412735964,5,True,True,True,False
15,4,l12_s1_n8_strat=trend_filter_ma15,1.3353202892763545,1.1032696935993733,0.22357336384143356,5.247551912207391,0.5676929482856256,0.18494396817551115,4,True,True,True,False
13,5,l12_s1_n8_strat=trend_filter_ma13,1.3353202892763545,1.1902858186253937,0.22357336384143367,6.682487122733967,0.6685268938356653,0.2093448507467872,5,True,True,True,False
14,6,l12_s1_n8_strat=trend_filter_ma14,1.3353202892763545,1.1902858186253937,0.22357336384143367,6.682487122733967,0.6685268938356653,0.2093448507467872,5,True,True,True,False
11,7,l12_s1_n8_strat=trend_filter_ma11,1.3073999454879865,1.277648104241216,0.22357336384143356,7.633171049023979,0.7389522185150424,0.23571300819151386,5,True,True,True,False
9,8,l12_s1_n8_strat=trend_filter_ma9,1.2180515420957747,1.2378506931160136,0.22357336384143356,6.811150742655198,0.6741410942209213,0.22426153588922362,5,True,True,True,False
10,9,l12_s1_n8_strat=trend_filter_ma10,1.2180515420957747,1.2566826795004722,0.22357336384143356,7.059208964479165,0.7080196051121257,0.22933469503337575,5,True,True,True,False
8,10,l12_s1_n8_strat=trend_filter_ma8,1.2180515420957747,1.2416217011302537,0.22357336384143356,6.872144707194794,0.6775175926953306,0.2252284717140586,5,True,True,True,False
