trade_date,holding_month,portfolio_value_before_sek,portfolio_value_after_sek,period_return,total_cost_sek,cash_sek,notes
2026-02-02,2026-02,50000.00,49793.36,0.000000,206.64,0.86,
2026-03-02,2026-03,56587.52,56317.34,0.136447,270.18,0.49,
