trade_date,holding_month,security_id,action,trade_value_sek,price_sek,shares_delta,cost_bps,cost_sek,execution_date
2026-03-02,2026-03,B2I.OL,buy,6211.37,45.1125,137.686125,144.00,89.44,2026-03-02
2026-03-02,2026-03,HSHP.OL,buy,6211.37,158.3315,39.230134,84.00,52.18,2026-03-02
2026-03-02,2026-03,KIT.OL,buy,6211.37,189.2724,32.817078,65.25,40.53,2026-03-02
2026-03-02,2026-03,LUG.ST,buy,6211.37,1023.1896,6.070593,27.75,17.24,2026-03-02
2026-03-02,2026-03,LUMI.ST,buy,6211.37,1105.7052,5.617562,27.75,17.24,2026-03-02
2026-03-02,2026-03,PAAL-B.CO,buy,6211.37,14419.0833,0.430774,65.25,40.53,2026-03-02
2026-03-02,2026-03,SAAB-B.ST,buy,6211.37,3264.6579,1.902609,27.75,17.24,2026-03-02
2026-03-02,2026-03,VWS.CO,buy,6211.37,13063.4777,0.475476,52.75,32.76,2026-03-02
