trade_date,holding_month,security_id,action,trade_value_sek,price_sek,shares_delta,cost_bps,cost_sek,execution_date
2026-03-02,2026-03,BOL.ST,buy,6223.87,1582.5297,3.932860,27.75,17.27,2026-03-02
2026-03-02,2026-03,ISS.CO,buy,6223.87,398.5163,15.617596,52.75,32.83,2026-03-02
2026-03-02,2026-03,JYSK.CO,buy,6223.87,3447.4719,1.805342,52.75,32.83,2026-03-02
2026-03-02,2026-03,LUG.ST,buy,6223.87,1023.1896,6.082809,27.75,17.27,2026-03-02
2026-03-02,2026-03,LUMI.ST,buy,6223.87,1105.7052,5.628867,27.75,17.27,2026-03-02
2026-03-02,2026-03,PAAL-B.CO,buy,6223.87,14419.0833,0.431641,65.25,40.61,2026-03-02
2026-03-02,2026-03,SAAB-B.ST,buy,6223.87,3264.6579,1.906438,27.75,17.27,2026-03-02
2026-03-02,2026-03,VWS.CO,buy,6223.87,13063.4777,0.476433,52.75,32.83,2026-03-02
