ma_window,rank,candidate_id,median_validation_sharpe,overall_sharpe,max_drawdown,total_return,bootstrap_ci_low,deflated_sharpe_score,fold_pass_count,gate_bootstrap,gate_deflated_sharpe,gate_negative_controls,selected
8,1,l12_s1_n5_strat=trend_filter_ma8,1.682732068855579,1.362895936542774,0.2241224411521684,11.025505092262284,0.7312633195432087,0.29510756753884304,4,True,True,True,True
11,2,l12_s1_n5_strat=trend_filter_ma11,1.6500427219246565,1.3472887310745563,0.22412244115216828,10.673940066959325,0.7300245397038093,0.2908111035795672,4,True,True,True,False
9,3,l12_s1_n5_strat=trend_filter_ma9,1.6500427219246565,1.3775867812395248,0.22412244115216828,11.349434159673745,0.7591213847748781,0.29916078082890346,4,True,True,True,False
10,4,l12_s1_n5_strat=trend_filter_ma10,1.6500427219246565,1.3775867812395248,0.22412244115216828,11.349434159673745,0.7591213847748781,0.29916078082890346,4,True,True,True,False
12,5,l12_s1_n5_strat=trend_filter_ma12,1.6500427219246565,1.4570315457763587,0.22412244115216828,14.140595423578514,0.8920508367404159,0.32538892623737803,5,True,True,True,False
