ma_window,rank,candidate_id,median_validation_sharpe,overall_sharpe,max_drawdown,total_return,bootstrap_ci_low,deflated_sharpe_score,fold_pass_count,gate_bootstrap,gate_deflated_sharpe,gate_negative_controls,selected
7,1,l12_s1_n8_strat=trend_filter_ma7,2.128963458085701,2.0090912969678194,0.0822134478650598,19.16406846308899,1.4701767382346849,0.46756468709465715,5,True,True,True,True
13,2,l12_s1_n8_strat=trend_filter_ma13,2.0958692422708523,1.5487792526448443,0.16455060368446595,10.881984446918224,0.9034656253084548,0.3102013506372504,4,True,True,True,False
14,3,l12_s1_n8_strat=trend_filter_ma14,2.0958692422708523,1.5487792526448443,0.16455060368446595,10.881984446918224,0.9034656253084548,0.3102013506372504,4,True,True,True,False
11,4,l12_s1_n8_strat=trend_filter_ma11,2.0958692422708523,1.6035815135159623,0.14839032301341915,11.41762030346289,0.93359645478989,0.3272152829556765,4,True,True,True,False
12,5,l12_s1_n8_strat=trend_filter_ma12,2.0958692422708523,1.665441779755531,0.14839032301341937,12.596908797223596,1.0060045068910752,0.34447059706110367,4,True,True,True,False
15,6,l12_s1_n8_strat=trend_filter_ma15,1.9544641160915575,1.4715083477646844,0.16455060368446595,9.381718186807536,0.8107797070878963,0.28989386191776134,4,True,True,True,False
9,7,l12_s1_n8_strat=trend_filter_ma9,1.9474345213820126,1.5859747519787473,0.15258982323305914,10.320945735827863,0.8700913132608196,0.31989737312139577,4,True,True,True,False
10,8,l12_s1_n8_strat=trend_filter_ma10,1.9474345213820126,1.5988403079003077,0.14839032301341915,10.523471680209223,0.8966816656238885,0.3232643927895288,4,True,True,True,False
8,9,l12_s1_n8_strat=trend_filter_ma8,1.9474345213820126,1.760834732688491,0.1044798330705955,12.348324670884585,1.1908038809345705,0.38321127315011977,5,True,True,True,False
6,10,l12_s1_n8_strat=trend_filter_ma6,1.9343094622545858,2.0526505974575704,0.08221344786505957,20.04882476576627,1.4774112559009591,0.48093277883698654,5,True,True,True,False
