ma_window,rank,candidate_id,median_validation_sharpe,overall_sharpe,max_drawdown,total_return,bootstrap_ci_low,deflated_sharpe_score,fold_pass_count,gate_bootstrap,gate_deflated_sharpe,gate_negative_controls,selected
12,1,l12_s1_n8_strat=trend_filter_ma12,2.0958692422708523,1.665441779755531,0.14839032301341937,12.596908797223596,1.0060045068910752,0.3775378121414858,4,True,True,True,True
15,2,l12_s1_n8_strat=trend_filter_ma15,1.9544641160915575,1.4715083477646844,0.16455060368446595,9.381718186807536,0.8107797070878963,0.3226197268354203,4,True,True,True,False
9,3,l12_s1_n8_strat=trend_filter_ma9,1.9474345213820126,1.5859747519787473,0.15258982323305914,10.320945735827863,0.8700913132608196,0.35336077774444125,4,True,True,True,False
10,4,l12_s1_n8_strat=trend_filter_ma10,1.9474345213820126,1.5988403079003077,0.14839032301341915,10.523471680209223,0.8966816656238885,0.35681196810168947,4,True,True,True,False
6,5,l12_s1_n8_strat=trend_filter_ma6,1.9343094622545858,2.0526505974575704,0.08221344786505957,20.04882476576627,1.4774112559009591,0.5080113982279079,5,True,True,True,False
