record_type,holding_month,signal_month,thesis_name,thesis_label,role,params_label,anchor_trade_date,next_execution_date,position,security_id,ticker_local,eodhd_symbol,company_name,country_code,exchange_group,currency,signal_score,asof_trade_date,anchor_close_sek,median_daily_value_60d_sek,market_cap_sek,order_notional_sek,target_weight,adv_participation_ratio,data_status,one_way_cost_bps,action,gross_return,trade_cost,net_return
history,2026-02,2026-01,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-01-30T00:00:00,2026-02-02T00:00:00,1,LUG.ST,LUG,LUG.ST,Lundin Gold Inc,SE,Nasdaq Stockholm,SEK,2.546786404669819,2026-01-30T00:00:00,701.0,242416040.5,,31250.0,0.125,0.00012891061142465942,fresh,27.75,enter,0.18675518902691363,0.0066500000000000005,0.18010518902691364
history,2026-02,2026-01,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-01-30T00:00:00,2026-02-02T00:00:00,2,SAAB-B.ST,SAAB-B,SAAB-B.ST,Saab AB (publ),SE,Nasdaq Stockholm,SEK,1.310091062805106,2026-01-30T00:00:00,693.3,1074310175.05,,31250.0,0.125,2.9088433420585988e-05,fresh,27.75,enter,0.18675518902691363,0.0066500000000000005,0.18010518902691364
history,2026-02,2026-01,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-01-30T00:00:00,2026-02-02T00:00:00,3,ZAP.OL,ZAP,ZAP.OL,Zaptec AS,NO,Oslo Bors,NOK,1.28270814272644,2026-01-30T00:00:00,21.339318000000002,7158788.648851249,,31250.0,0.125,0.0043652636685977035,fresh,131.5,enter,0.18675518902691363,0.0066500000000000005,0.18010518902691364
history,2026-02,2026-01,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-01-30T00:00:00,2026-02-02T00:00:00,4,KIT.OL,KIT,KIT.OL,Kitron ASA,NO,Oslo Bors,NOK,1.16494498175055,2026-01-30T00:00:00,76.165661,35757874.643545,,31250.0,0.125,0.0008739333730407056,fresh,65.25,enter,0.18675518902691363,0.0066500000000000005,0.18010518902691364
history,2026-02,2026-01,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-01-30T00:00:00,2026-02-02T00:00:00,5,LUMI.ST,LUMI,LUMI.ST,Lundin Mining Corporation,SE,Nasdaq Stockholm,SEK,1.1468336065344582,2026-01-30T00:00:00,229.0,108848321.5,,31250.0,0.125,0.00028709675601198867,fresh,27.75,enter,0.18675518902691363,0.0066500000000000005,0.18010518902691364
history,2026-02,2026-01,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-01-30T00:00:00,2026-02-02T00:00:00,6,NORBT.OL,NORBT,NORBT.OL,Norbit ASA,NO,Oslo Bors,NOK,1.0119647990496432,2026-01-30T00:00:00,170.160276,21654983.158056,,31250.0,0.125,0.0014430858602803623,fresh,65.25,enter,0.18675518902691363,0.0066500000000000005,0.18010518902691364
history,2026-02,2026-01,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-01-30T00:00:00,2026-02-02T00:00:00,7,PROT.OL,PROT,PROT.OL,Protector Forsikring ASA,NO,Oslo Bors,NOK,0.8965705130564321,2026-01-30T00:00:00,483.13694000000004,41114805.7644975,,31250.0,0.125,0.0007600668279694093,fresh,65.25,enter,0.18675518902691363,0.0066500000000000005,0.18010518902691364
history,2026-02,2026-01,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-01-30T00:00:00,2026-02-02T00:00:00,8,PEXIP.OL,PEXIP,PEXIP.OL,Pexip Holding ASA,NO,Oslo Bors,NOK,0.8875121512412398,2026-01-30T00:00:00,71.408194,9767693.348887999,,31250.0,0.125,0.003199322386954096,fresh,121.5,enter,0.18675518902691363,0.0066500000000000005,0.18010518902691364
history,2026-03,2026-02,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,1,SAAB-B.ST,SAAB-B,SAAB-B.ST,Saab AB (publ),SE,Nasdaq Stockholm,SEK,1.895509345998216,2026-02-27T00:00:00,653.4,1103612829.65,,31250.0,0.125,2.8316089810147124e-05,fresh,27.75,hold,-0.3,0.008650000000000001,-0.30865
history,2026-03,2026-02,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,2,LUG.ST,LUG,LUG.ST,Lundin Gold Inc,SE,Nasdaq Stockholm,SEK,1.6470623805250209,2026-02-27T00:00:00,844.5,230672158.75,,31250.0,0.125,0.00013547365303789616,fresh,27.75,hold,-0.3,0.008650000000000001,-0.30865
history,2026-03,2026-02,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,3,LUMI.ST,LUMI,LUMI.ST,Lundin Mining Corporation,SE,Nasdaq Stockholm,SEK,1.5952063447972678,2026-02-27T00:00:00,289.6,134160040.8,,31250.0,0.125,0.00023293075802344272,fresh,27.75,hold,-0.3,0.008650000000000001,-0.30865
history,2026-03,2026-02,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,4,B2I.OL,B2I,B2I.OL,B2 Impact ASA,NO,Oslo Bors,NOK,1.1654689515386059,2026-02-27T00:00:00,23.167807500000002,5385468.09090225,,31250.0,0.125,0.0058026525220325935,fresh,144.0,enter,-0.3,0.008650000000000001,-0.30865
history,2026-03,2026-02,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,5,KIT.OL,KIT,KIT.OL,Kitron ASA,NO,Oslo Bors,NOK,1.1390512267557167,2026-02-27T00:00:00,101.04399000000001,48089889.562225,,31250.0,0.125,0.0006498247403867429,fresh,65.25,hold,-0.3,0.008650000000000001,-0.30865
history,2026-03,2026-02,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,6,HSHP.OL,HSHP,HSHP.OL,Himalaya Shipping Ltd,NO,Oslo Bors,NOK,1.1153695717723635,2026-02-27T00:00:00,134.15445,15583319.211204,,31250.0,0.125,0.0020053494108964965,fresh,84.0,enter,-0.3,0.008650000000000001,-0.30865
history,2026-03,2026-02,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,7,PAAL-B.CO,PAAL-B,PAAL-B.CO,Per Aarsleff Holding A/S,DK,Nasdaq Copenhagen,DKK,0.965800752208519,2026-02-27T00:00:00,1141.816,26929024.004880004,,31250.0,0.125,0.0011604579502895078,fresh,65.25,enter,-0.3,0.008650000000000001,-0.30865
history,2026-03,2026-02,baseline,"Baseline (Sweden, Denmark, Norway)",shadow,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-02-27T00:00:00,2026-03-02T00:00:00,8,VWS.CO,VWS,VWS.CO,Vestas Wind Systems A/S,DK,Nasdaq Copenhagen,DKK,0.9498868873963637,2026-02-27T00:00:00,231.86001149999998,623328203.595494,,31250.0,0.125,5.0134102419468805e-05,fresh,52.75,enter,-0.3,0.008650000000000001,-0.30865
