ma_window,rank,candidate_id,median_validation_sharpe,overall_sharpe,max_drawdown,total_return,bootstrap_ci_low,deflated_sharpe_score,fold_pass_count,gate_bootstrap,gate_deflated_sharpe,gate_negative_controls,selected
12,1,l12_s1_n5_strat=trend_filter_ma12,1.0696949217228289,1.0021743266445293,0.26075827212159963,4.969208270813356,0.3909193332472822,0.18908664112565246,4,True,True,True,True
8,2,l12_s1_n5_strat=trend_filter_ma8,0.9516203936735949,1.0290350361485334,0.23084977210096203,6.619017183167492,0.5146320028080732,0.20603785778633918,5,True,True,True,False
9,3,l12_s1_n5_strat=trend_filter_ma9,0.9516203936735949,1.0419499750376695,0.23084977210096191,6.825391514689935,0.5354925268333833,0.20974181130785519,5,True,True,True,False
10,4,l12_s1_n5_strat=trend_filter_ma10,0.9516203936735949,1.0419499750376695,0.23084977210096191,6.825391514689935,0.5354925268333833,0.20974181130785519,5,True,True,True,False
11,5,l12_s1_n5_strat=trend_filter_ma11,0.8458533479886919,1.000982080468316,0.2308497721009618,6.199105950667869,0.48760110511663457,0.19781518794165098,5,True,True,True,False
